id,name,goals_avg,goals_sd,assists_avg,assists_sd,blocks_avg,blocks_sd,catches_avg,catches_sd,completions_avg,completions_sd,throwaways_avg,throwaways_sd,drops_avg,drops_sd,callahans_avg,callahans_sd
363,Vohnou B,2.533333333,2.065591118,2.266666667,1.624221425,0.6,0.828078671,18.26666667,11.58488342,14.4,9.364065051,1.4,1.45405836,0.266666667,0.798808637,0,0
364,Wallin C,0.2,0.560611911,0.266666667,0.798808637,0.066666667,0.25819889,5.666666667,11.99801571,4.866666667,10.1900979,0.533333333,1.597617273,0.133333333,0.351865775,0,0
365,Weinbe C,2.533333333,2.47463321,1.6,1.594633859,0.333333333,0.723746864,19.8,13.86259098,16.06666667,11.12568885,0.866666667,1.35576371,0.066666667,0.25819889,0,0
366,Wood C,0.066666667,0.25819889,0.2,0.560611911,0.066666667,0.25819889,4,8.510497719,4.8,10.27618606,0.466666667,1.125462868,0.066666667,0.25819889,0,0
367,Andre,1,1.414213562,0.571428571,0.646206173,1.142857143,1.610405723,5.071428571,4.497251908,4.142857143,3.505098328,0.5,0.940539943,0.142857143,0.36313652,0,0
368,Big Mike,1.5,1.698415551,0,0,0.571428571,1.089409559,5.714285714,4.046433785,3.928571429,2.786348195,0.285714286,0.468807231,0.214285714,0.425815314,0,0
369,Bisson,0.571428571,0.646206173,0.142857143,0.36313652,0.285714286,0.468807231,2.928571429,2.33581762,2.142857143,1.994497926,0,0,0,0,0,0
370,Breton,0,0,0.142857143,0.36313652,0,0,0.928571429,1.542439911,1.071428571,1.899971081,0,0,0.214285714,0.425815314,0,0
371,Burden,1.714285714,1.772810521,1.571428571,1.869359648,0.642857143,0.928782732,15.92857143,11.34402103,14.42857143,9.990104995,1.571428571,1.342459609,0,0,0,0
372,Cabot,1.071428571,1.384768001,1.642857143,1.94569121,0.285714286,0.468807231,13.14285714,7.461255234,13.64285714,8.072814235,1.357142857,1.150728389,0.5,0.650443636,0,0
373,Ceballos,0.428571429,0.755928946,0.5,0.759554525,0.5,0.650443636,4.714285714,3.099095933,4.285714286,3.123818458,0.571428571,0.646206173,0.428571429,0.646206173,0,0
374,Chaouch,0.142857143,0.534522484,0.142857143,0.36313652,0.071428571,0.267261242,0.928571429,2.464026902,0.714285714,1.977899874,0.071428571,0.267261242,0.071428571,0.267261242,0,0
